name	size	floor	ceiling	meandate	accuracy	features	regularization	i
detectivemodels0	160	1764	1989	1918	0.8875	5400	0.01	0
detectivemodels1	160	1760	1989	1920	0.890625	6000	0.01	1
detectivemodels2	160	1760	1989	1918	0.896875	3200	0.01	2
detectivemodels3	160	1764	1989	1919	0.890625	3000	0.1	3
detectivemodels4	160	1761	1989	1917	0.89375	5800	0.001	4
detectivemodels5	160	1764	1989	1917	0.88125	6200	0.001	5
detectivemodels6	160	1760	1989	1918	0.9	1800	0.1	6
detectivemodels7	160	1760	1989	1916	0.91875	4400	0.1	7
detectivemodels8	160	1777	1989	1921	0.896875	3200	0.1	8
detectivemodels9	160	1761	1989	1919	0.8875	5800	0.001	9
detectivemodels10	160	1761	1989	1919	0.915625	3800	0.01	10
detectivemodels11	160	1777	1989	1919	0.8875	4000	0.01	11
detectivemodels12	160	1761	1989	1919	0.89375	2200	0.001	12
detectivemodels13	160	1764	1989	1920	0.903125	1800	0.01	13
detectivemodels14	160	1780	1989	1918	0.8875	4200	0.01	14
detectivemodels15	160	1764	1989	1921	0.8875	2400	0.001	15
detectivemodels16	160	1760	1989	1921	0.909375	5400	0.001	16
detectivemodels17	160	1760	1989	1917	0.884375	5600	0.01	17
detectivemodels18	160	1761	1989	1916	0.9	3800	0.1	18
detectivemodels19	160	1760	1989	1920	0.88125	3400	0.001	19
detectivemodels20	160	1760	1989	1917	0.890625	2600	0.01	20
detectivemodels21	160	1777	1989	1922	0.890625	4800	0.001	21
detectivemodels22	160	1760	1989	1914	0.89375	2800	0.001	22
detectivemodels23	160	1760	1989	1921	0.896875	2000	0.001	23
detectivemodels24	160	1777	1989	1919	0.878125	2600	0.01	24
detectivemodels25	160	1764	1989	1917	0.9	3000	0.1	25
detectivemodels26	160	1764	1989	1919	0.903125	3200	0.01	26
detectivemodels27	160	1761	1989	1920	0.925	5600	10	27
detectivemodels28	160	1777	1989	1916	0.921875	3000	0.01	28
detectivemodels29	160	1761	1989	1920	0.86875	2800	1	29
detectivemodels30	160	1760	1989	1916	0.915625	2200	0.01	30
detectivemodels31	160	1786	1989	1920	0.896875	4000	0.001	31
detectivemodels32	160	1760	1989	1916	0.88125	4400	0.001	32
detectivemodels33	160	1777	1989	1924	0.89375	6200	1	33
