name	size	floor	ceiling	meandate	testacc	validationacc	features	regularization	i
BoWShrunkenGothic0	40	1798	1989	1884	0.675	0.5433070866141733	510	0.003	0
BoWShrunkenGothic1	40	1786	1989	1876	0.7125	0.5901639344262295	110	1000	1
BoWShrunkenGothic2	40	1786	1989	1886	0.6375	0.6224899598393574	510	10	2
BoWShrunkenGothic3	40	1785	1989	1880	0.625	0.56	510	0.001	3
BoWShrunkenGothic4	40	1786	1989	1872	0.6625	0.688	110	1	4
BoWShrunkenGothic5	40	1785	1987	1884	0.7125	0.62	610	10	5
BoWShrunkenGothic6	40	1777	1989	1879	0.7	0.7408906882591093	810	0.1	6
BoWShrunkenGothic7	40	1794	1987	1883	0.65	0.6721991701244814	410	1	7
BoWShrunkenGothic8	40	1777	1989	1866	0.6125	0.5708661417322834	310	100	8
BoWShrunkenGothic9	40	1785	1989	1877	0.6625	0.6032388663967612	1310	0.003	9
BoWShrunkenGothic0	40	1796	1989	1869	0.7	0.5866141732283464	1010	0.003	0
BoWShrunkenGothic1	40	1788	1989	1883	0.65	0.64	610	0.003	1
BoWShrunkenGothic2	40	1786	1989	1874	0.6875	0.5894308943089431	1210	0.001	2
BoWShrunkenGothic3	40	1764	1987	1872	0.7125	0.5403225806451613	310	1	3
BoWShrunkenGothic4	40	1786	1989	1886	0.775	0.609375	910	1	4
BoWShrunkenGothic5	40	1786	1989	1868	0.7	0.6422764227642277	210	300	5
BoWShrunkenGothic6	40	1788	1987	1870	0.675	0.6086956521739131	210	10	6
BoWShrunkenGothic7	40	1785	1989	1875	0.6875	0.5959183673469388	110	0.1	7
BoWShrunkenGothic8	40	1785	1989	1867	0.625	0.6374501992031872	710	300	8
BoWShrunkenGothic9	40	1796	1989	1895	0.5875	0.570281124497992	410	0.01	9
BoWShrunkenGothic0	40	1764	1989	1888	0.6875	0.5645161290322581	110	0.1	0
BoWShrunkenGothic1	40	1788	1988	1890	0.7375	0.5959183673469388	10	1	1
BoWShrunkenGothic2	40	1785	1989	1879	0.675	0.6460905349794238	710	1	2
BoWShrunkenGothic3	40	1764	1987	1890	0.6875	0.5637860082304527	110	10	3
BoWShrunkenGothic4	40	1785	1981	1863	0.625	0.637065637065637	310	100	4
BoWShrunkenGothic5	40	1785	1982	1875	0.7	0.5609756097560976	10	1	5
BoWShrunkenGothic6	40	1786	1989	1860	0.625	0.61003861003861	310	10	6
BoWShrunkenGothic7	40	1788	1988	1889	0.675	0.594488188976378	310	0.03	7
BoWShrunkenGothic8	40	1764	1989	1884	0.65	0.5614754098360656	310	300	8
BoWShrunkenGothic9	40	1790	1981	1863	0.7	0.5595238095238095	610	0.01	9
