name	size	floor	ceiling	meandate	testacc	validationacc	features	regularization	i
BoWSF0	125	1818	1989	1940	0.904	0.8732394366197183	6500	100	0
BoWSF1	125	1771	1989	1937	0.907258064516	0.9375	6500	100	1
BoWSF2	125	1818	1989	1941	0.908	0.8857142857142857	2500	0.01	2
BoWSF3	125	1771	1989	1942	0.904	0.9	4500	0.03	3
BoWSF4	125	1868	1989	1946	0.912	0.8263888888888888	5000	1000	4
BoWSF5	125	1827	1989	1939	0.892	0.875	4000	1	5
BoWSF6	125	1771	1989	1940	0.88	0.875	5000	0.001	6
BoWSF7	125	1771	1989	1936	0.9	0.8680555555555556	2500	0.01	7
BoWSF8	125	1865	1989	1942	0.908	0.8306451612903226	6000	300	8
BoWSF9	125	1771	1989	1935	0.879032258065	0.9027777777777778	4000	1	9
BoWSF0	125	1771	1989	1938	0.888	0.9166666666666666	6500	1	0
BoWSF1	125	1771	1989	1943	0.911290322581	0.875	6500	10	1
BoWSF2	125	1818	1989	1938	0.904	0.8472222222222222	2000	300	2
BoWSF3	125	1827	1989	1939	0.908	0.8888888888888888	5500	1	3
BoWSF4	125	1771	1989	1935	0.915322580645	0.8541666666666666	6500	300	4
BoWSF5	125	1771	1989	1942	0.91935483871	0.8680555555555556	6500	100	5
BoWSF6	125	1771	1989	1937	0.9	0.875	6500	300	6
BoWSF7	125	1771	1989	1940	0.91935483871	0.9027777777777778	6000	100	7
BoWSF8	125	1771	1989	1939	0.912	0.8611111111111112	5500	1	8
BoWSF9	125	1827	1989	1942	0.9	0.8472222222222222	6000	0.003	9
BoWSF0	125	1771	1989	1944	0.92	0.8819444444444444	3500	10	0
BoWSF1	125	1771	1989	1946	0.904	0.8888888888888888	5500	100	1
BoWSF2	125	1818	1989	1943	0.896	0.9366197183098591	6000	100	2
BoWSF3	125	1771	1989	1940	0.896	0.8768115942028986	3500	0.03	3
BoWSF4	125	1818	1989	1940	0.908	0.8680555555555556	5500	0.003	4
BoWSF5	125	1818	1989	1937	0.915322580645	0.8472222222222222	4000	0.01	5
BoWSF6	125	1771	1989	1938	0.912	0.9057971014492754	6000	10	6
BoWSF7	125	1771	1989	1938	0.923387096774	0.8888888888888888	6000	1000	7
BoWSF8	125	1827	1989	1944	0.916	0.8541666666666666	5000	0.1	8
BoWSF9	125	1771	1989	1940	0.876	0.9166666666666666	6000	0.01	9
