name	size	floor	ceiling	meandate	testacc	validationacc	features	regularization	i
BoWMystery0	125	1829	1989	1933	0.9	0.943089430894309	3500	0.001	0
BoWMystery1	125	1829	1989	1930	0.928	0.9308943089430894	3000	0.01	1
BoWMystery2	125	1829	1989	1928	0.936	0.9349593495934959	2000	0.01	2
BoWMystery3	125	1832	1989	1931	0.92	0.9390243902439024	4000	300	3
BoWMystery4	125	1832	1989	1934	0.936	0.9065040650406504	3500	0.001	4
BoWMystery5	125	1827	1989	1934	0.948	0.8983739837398373	4000	1000	5
BoWMystery6	125	1829	1989	1936	0.948	0.9291666666666667	4000	10	6
BoWMystery7	125	1829	1989	1934	0.924	0.9227642276422764	5500	1	7
BoWMystery8	125	1829	1989	1927	0.932	0.9227642276422764	2000	1	8
BoWMystery9	125	1829	1989	1929	0.948	0.8821138211382114	3000	0.1	9
BoWMystery0	125	1840	1989	1933	0.92	0.9194915254237288	3000	300	0
BoWMystery1	125	1820	1989	1931	0.876	0.930327868852459	3500	0.001	1
BoWMystery2	125	1829	1989	1933	0.936	0.926829268292683	3000	0.003	2
BoWMystery3	125	1829	1989	1931	0.904	0.9512195121951219	2500	0.001	3
BoWMystery4	125	1829	1989	1930	0.912	0.9401709401709402	4000	0.003	4
BoWMystery5	125	1829	1989	1927	0.924	0.9139344262295082	6500	1	5
BoWMystery6	125	1853	1989	1938	0.924	0.9049586776859504	2000	10	6
BoWMystery7	125	1832	1989	1930	0.912	0.9186991869918699	2500	0.03	7
BoWMystery8	125	1829	1989	1927	0.908	0.9146341463414634	4000	0.1	8
BoWMystery9	125	1841	1989	1930	0.952	0.9016393442622951	3500	0.01	9
BoWMystery0	125	1832	1989	1930	0.92	0.959349593495935	3500	0.01	0
BoWMystery1	125	1841	1989	1931	0.944	0.9146341463414634	4500	100	1
BoWMystery2	125	1838	1989	1933	0.912	0.9426229508196722	5500	0.003	2
BoWMystery3	125	1832	1989	1934	0.904	0.9105691056910569	1000	0.1	3
BoWMystery4	125	1829	1989	1924	0.928	0.9186991869918699	4500	100	4
BoWMystery5	125	1832	1989	1925	0.92	0.926829268292683	4000	0.003	5
BoWMystery6	125	1829	1989	1931	0.924	0.9139344262295082	5500	10	6
BoWMystery7	125	1829	1989	1930	0.916	0.926829268292683	1000	1	7
BoWMystery8	125	1829	1989	1935	0.912	0.926829268292683	1500	0.01	8
BoWMystery9	125	1832	1989	1933	0.932	0.930327868852459	5000	10	9
