name	size	floor	ceiling	meandate	testacc	validationacc	features	regularization	i
BoWReducedGothic0	40	1764	1989	1886	0.7625	0.6363636363636364	1010	0.03	0
BoWReducedGothic1	40	1764	1989	1866	0.675	0.7421875	1210	10	1
BoWReducedGothic2	40	1777	1989	1856	0.775	0.6944444444444444	110	1	2
BoWReducedGothic3	40	1790	1989	1851	0.75	0.6363636363636364	710	0.03	3
BoWReducedGothic4	40	1788	1989	1880	0.7	0.7016806722689075	1010	10	4
BoWReducedGothic5	40	1777	1989	1890	0.6875	0.72	1410	1	5
BoWReducedGothic6	40	1785	1987	1886	0.775	0.6363636363636364	1010	0.001	6
BoWReducedGothic7	40	1764	1989	1879	0.8125	0.6431535269709544	1910	0.003	7
BoWReducedGothic8	40	1803	1989	1873	0.725	0.7738095238095238	1810	10	8
BoWReducedGothic9	40	1777	1989	1873	0.75	0.6162790697674418	210	100	9
