name	size	floor	ceiling	meandate	testacc	validationacc	features	regularization	i
BoWGothic0	125	1764	1989	1877	0.848	0.7125	1000	100	0
BoWGothic1	125	1761	1989	1881	0.776	0.85	5500	0.001	1
BoWGothic2	125	1760	1989	1888	0.788	0.8552631578947368	4000	0.01	2
BoWGothic3	125	1761	1989	1875	0.832	0.725	1500	0.003	3
BoWGothic4	125	1761	1989	1879	0.804	0.8125	3500	0.003	4
BoWGothic5	125	1760	1989	1875	0.776	0.8461538461538461	4500	0.003	5
BoWGothic6	125	1761	1989	1875	0.82	0.7875	4000	0.03	6
BoWGothic7	125	1760	1989	1878	0.82	0.75	4000	1	7
BoWGothic8	125	1764	1989	1872	0.844	0.7307692307692307	1000	0.01	8
BoWGothic9	125	1761	1989	1876	0.768	0.7875	5000	0.001	9
BoWGothic0	125	1760	1989	1877	0.82	0.8	5500	0.003	0
BoWGothic1	125	1761	1989	1876	0.796	0.8378378378378378	5000	0.001	1
BoWGothic2	125	1761	1989	1875	0.804	0.8289473684210527	6500	0.01	2
BoWGothic3	125	1760	1989	1881	0.804	0.7875	6000	0.01	3
BoWGothic4	125	1761	1989	1874	0.848	0.6875	1000	0.1	4
BoWGothic5	125	1777	1989	1875	0.796	0.7564102564102564	2500	100	5
BoWGothic6	125	1761	1989	1870	0.816	0.775	1000	0.03	6
BoWGothic7	125	1764	1989	1882	0.816	0.7625	6000	0.003	7
BoWGothic8	125	1764	1989	1884	0.848	0.7125	3500	1000	8
BoWGothic9	125	1761	1989	1871	0.768	0.775	2500	0.001	9
BoWGothic0	125	1761	1989	1874	0.804	0.825	1000	0.01	0
BoWGothic1	125	1760	1989	1882	0.812	0.8157894736842105	5500	0.003	1
BoWGothic2	125	1761	1989	1882	0.788	0.8333333333333334	5500	1	2
BoWGothic3	125	1760	1989	1873	0.824	0.8333333333333334	5000	10	3
BoWGothic4	125	1761	1989	1875	0.816	0.7564102564102564	1000	0.01	4
BoWGothic5	125	1764	1989	1872	0.804	0.7285714285714285	3500	0.01	5
BoWGothic6	125	1764	1989	1878	0.78	0.8333333333333334	1000	0.03	6
BoWGothic7	125	1764	1989	1880	0.792	0.8026315789473685	6000	0.03	7
BoWGothic8	125	1761	1989	1876	0.828	0.7564102564102564	4500	0.03	8
BoWGothic9	125	1760	1989	1880	0.812	0.7125	5500	10	9
