name	size	floor	ceiling	meandate	accuracy	features	regularization	i
scifi0	160	1764	1989	1925	0.903125	5600	100	0
scifi1	160	1761	1989	1925	0.9	6200	0.01	1
scifi2	160	1771	1989	1922	0.890625	5800	10	2
scifi3	160	1761	1989	1925	0.90625	5400	10	3
scifi4	160	1760	1989	1925	0.903125	3200	10	4
scifi5	160	1760	1989	1923	0.890625	3400	100	5
scifi6	160	1760	1989	1924	0.915625	3000	0.01	6
scifi7	160	1771	1989	1928	0.909375	2600	10	7
scifi8	160	1760	1989	1921	0.896875	5200	100	8
scifi9	160	1760	1989	1921	0.9	6000	10	9
scifi10	160	1760	1989	1920	0.903125	5000	100	10
scifi11	160	1761	1989	1923	0.9125	5400	0.01	11
scifi12	160	1771	1989	1924	0.903125	6000	10	12
scifi13	160	1760	1989	1921	0.91875	3200	0.001	13
scifi14	160	1760	1989	1923	0.89375	5400	0.1	14
scifi15	160	1760	1989	1921	0.896875	6000	0.01	15
scifi16	160	1760	1989	1921	0.8875	1800	0.1	16
scifi17	160	1764	1989	1922	0.90625	6000	0.1	17
scifi18	160	1777	1989	1927	0.903125	6200	0.01	18
scifi19	160	1760	1989	1922	0.915625	3800	10	19
scifi20	160	1771	1989	1928	0.903125	4400	1	20
scifi21	160	1771	1989	1926	0.90625	5800	100	21
scifi22	160	1777	1989	1923	0.909375	3600	0.1	22
scifi23	160	1760	1989	1925	0.896875	6400	100	23
scifi24	160	1764	1989	1925	0.915625	5400	100	24
scifi25	160	1760	1989	1926	0.91875	5200	0.1	25
scifi26	160	1761	1989	1921	0.903125	5800	10	26
scifi27	160	1761	1989	1925	0.89375	5600	100	27
scifi28	160	1771	1989	1924	0.896875	5000	0.1	28
scifi29	160	1761	1989	1924	0.89375	5600	0.01	29
scifi30	160	1771	1989	1924	0.9	6400	10	30
scifi31	160	1760	1989	1923	0.915625	4600	10	31
scifi32	160	1764	1989	1923	0.90625	5600	0.1	32
scifi33	160	1764	1989	1925	0.9125	5800	100	33
scifi34	160	1760	1989	1925	0.896875	5600	0.01	34
scifi35	160	1760	1989	1925	0.89375	3400	10	35
scifi36	160	1761	1989	1925	0.909375	6000	100	36
scifi37	160	1771	1989	1921	0.896875	6400	100	37
scifi38	160	1771	1989	1921	0.909375	3200	10	38
scifi39	160	1760	1989	1922	0.90625	6400	100	39
scifi40	160	1760	1989	1923	0.915625	4000	1	40
scifi41	160	1794	1989	1928	0.903125	3000	10	41
scifi42	160	1760	1989	1925	0.90625	5200	10	42
scifi43	160	1764	1989	1923	0.915625	5400	100	43
scifi44	160	1760	1989	1922	0.921875	6000	100	44
scifi45	160	1761	1989	1922	0.878125	5600	0.1	45
scifi46	160	1764	1989	1927	0.89375	5800	100	46
scifi47	160	1760	1989	1922	0.909375	5200	10	47
scifi48	160	1764	1989	1925	0.90625	6000	0.1	48
scifi49	160	1777	1989	1925	0.90625	3400	100	49
scifi50	160	1760	1989	1924	0.909375	5600	0.01	50
scifi51	160	1760	1989	1923	0.915625	5600	0.1	51
scifi52	160	1764	1989	1923	0.896875	3200	0.1	52
scifi53	160	1764	1989	1923	0.903125	6000	0.01	53
scifi54	160	1760	1989	1924	0.878125	3400	0.01	54
scifi55	160	1764	1989	1925	0.91875	6000	0.1	55
scifi56	160	1761	1989	1922	0.884375	6200	0.01	56
scifi57	160	1760	1989	1923	0.890625	6000	100	57
scifi58	160	1771	1989	1925	0.890625	3600	1	58
scifi59	160	1764	1989	1925	0.896875	3400	10	59
scifi60	160	1761	1989	1922	0.89375	6200	10	60
scifi61	160	1760	1989	1921	0.896875	3200	10	61
scifi62	160	1760	1989	1922	0.89375	6000	10	62
scifi63	160	1760	1989	1921	0.9125	5200	10	63
scifi64	160	1771	1989	1923	0.8875	3200	1	64
scifi65	160	1760	1989	1925	0.9125	5200	100	65
scifi66	160	1760	1989	1924	0.9	2400	1	66
scifi67	160	1771	1989	1922	0.9125	5000	100	67
scifi68	160	1760	1989	1925	0.896875	5200	1	68
scifi69	160	1761	1989	1925	0.89375	3600	1	69
scifi70	160	1760	1989	1926	0.890625	5000	10	70
scifi71	160	1771	1989	1922	0.90625	5600	10	71
scifi72	160	1760	1989	1922	0.9	5800	0.1	72
scifi73	160	1761	1989	1924	0.9375	4000	100	73
scifi74	160	1760	1989	1924	0.875	5400	100	74
scifi75	160	1760	1989	1923	0.90625	5600	10	75
scifi76	160	1771	1989	1922	0.871875	6400	10	76
scifi77	160	1760	1989	1925	0.9125	5600	100	77
scifi78	160	1771	1989	1922	0.9125	3800	1	78
scifi79	160	1764	1989	1924	0.89375	4400	0.1	79
scifi80	160	1761	1989	1925	0.91875	6200	10	80
scifi81	160	1761	1989	1922	0.909375	5200	100	81
scifi82	160	1760	1989	1922	0.915625	6400	0.01	82
scifi83	160	1760	1989	1924	0.871875	6400	10	83
scifi84	160	1760	1989	1921	0.903125	5200	0.1	84
scifi85	160	1760	1989	1924	0.896875	4000	100	85
scifi86	160	1760	1989	1923	0.928125	5800	0.1	86
scifi87	160	1761	1989	1919	0.890625	6400	0.01	87
scifi88	160	1771	1989	1923	0.90625	2600	1	88
scifi89	160	1771	1989	1921	0.9125	3800	10	89
scifi90	160	1760	1989	1925	0.91875	5200	100	90
scifi91	160	1760	1989	1925	0.9125	6000	100	91
scifi92	160	1764	1989	1925	0.90625	6400	0.01	92
scifi93	160	1760	1989	1925	0.878125	4800	0.01	93
scifi94	160	1771	1989	1925	0.9	5200	10	94
scifi95	160	1760	1989	1925	0.9	4600	0.1	95
scifi96	160	1771	1989	1924	0.896875	6400	0.1	96
scifi97	160	1771	1989	1923	0.903125	6400	0.1	97
scifi98	160	1760	1989	1921	0.8875	6200	0.001	98
