volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,author,title,genretags
4690,1922,1922,1857,1922,m,us,78462,0.324571220185,0,"Hough, Emerson,",The young Alaskans on the,chirandom | teamred
4698,1922,1922,1880,1922,m,us,113527,0.428453447363,0,"Kyne, Peter B.",Cappy Ricks retires,chirandom | teamred
23165,1989,1989,1952,1989,m,us,178287,0.573372753626,1,"Powers, Tim,",The stress of her regard,teamred | chifantasy | chiscifi | stew
uiuo.ark+=13960=t6zw24n6x,1818,1818,1775,1818,f,uk,48941,0.43260617072,1,"Austen, Jane,",Northanger Abbey,teamred | lochorror | stew
11013,1950,1950,1912,1950,m,us,53682,0.784448375243,1,"Van Vogt, A. E. 1912-2000",The house that stood stil,chirandom | stew | teamblack | chiscifi
10543,1938,1938,1906,1938,m,us,77725,0.713899015699,1,"Carr, John Dickson",To wake the dead,stew | det100 | teamblack
10542,1938,1938,1875,1938,m,us,55797,0.491856792402,1,"Burroughs, Edgar Rice,",The lad and the lion,teamred | chiscifi | stew
uiuo.ark+=13960=t15m6kw75,1828,1828,1788,1828,m,uk,59235,0.487434919983,1,"Gaspey, Thomas,",History of George Godfrey,stew | newgate | teamblack
21330,1976,1976,1929,1976,m,us,84809,0.39359088354,0,"Jenkins, Dan,",Limo,chirandom | teamred
21335,1976,1976,1908,1976,m,us,97613,0.406309176361,0,"L'Amour, Louis,",To the Far Blue Mountains,chirandom | teamblack
uc2.ark+=13960=t5db7zr5v,1879,1879,1839,1879,m,us,53824,0.321534614436,0,"Adams, Robert Chamblet,","On board the ""Rocket""",teamblack | random
uc2.ark+=13960=t5x63bm4w,1913,1913,1872,1913,f,us,59603,0.33011223056,0,"Daviess, Maria Thompson.",The tinder-box,teamblack | random
21494,1978,1978,1939,1978,m,us,117110,0.391632405993,0,"Bayer, William,",Tangier,chirandom | teamblack
11664,1940,1940,1899,1940,m,uk,73179,0.590104686321,0,"Shute, Nevil,",Landfall,chirandom | teamblack
21147,1973,1973,1922,1973,m,us,58222,0.484175614656,1,"Vonnegut, Kurt,",Breakfast of Champions,teamred | chiscifi | stew
njp.32101067641678,1878,1878,1812,1878,m,ge,72452,0.314153846345,0,"Auerbach, Berthold,",Landolin,teamred | random
20380,1959,1959,0,1959,f,us,185134,0.346726278156,0,"Kirkland, Elithe Hamilton",Love is a wild assault,chirandom | teamblack
11932,1950,1950,1878,1950,f,uk,88610,0.511713508525,1,"Wentworth, Patricia,",Through the wall,chirandom | stew | teamblack | chimyst
uc2.ark+=13960=t9s17v81t,1909,1909,1852,1909,m,us,64728,0.309367935985,0,"Egan, Maurice Francis,",The wiles of Sexton Magin,teamblack | random
21542,1978,1978,1947,1978,m,us,470695,0.493342255167,1,"King, Stephen,",The stand,teamred | chihorror | stew
mdp.39015063556271,1818,1818,1769,1818,f,uk,66774,0.330422478304,0,"Opie, Amelia Alderson,",New tales,teamred | random
mdp.39076002720709,1900,1900,0,1900,m,,40902,0.427112788914,1,"Chapman, Allen.","Boys of Spring Hill, or, ",stew | teamblack | locdetmyst
uc1.$b522186,1806,1806,1746,1806,f,fr,44787,0.141271810572,0,"Genlis, Stéphanie Félicité,",Madame de Maintenon,teamred | random
10086,1930,1930,1862,1930,m,us,59534,0.44597778929,0,"Stratemeyer, Edward,",With Taylor on the Rio Gr,chirandom | teamblack
mdp.39076006220961,1847,1907,1816,1847,f,uk,118026,0.481077054363,1,"Brontë, Charlotte,",Jane Eyre,teamred | pbgothic | stew
10736,1944,1944,1875,1944,m,us,58477,0.601493956372,1,"Burroughs, Edgar Rice,",Land of terror,teamred | chifantasy | chiscifi | stew
uc1.b287473,1818,1818,1769,1818,f,uk,65924,0.322362794227,0,"Opie, Amelia Alderson,",New tales,teamblack | random
20709,1966,1966,1937,1966,m,us,47056,0.617802967244,0,"Pynchon, Thomas,",The crying of lot 49,chirandom | teamblack
uc2.ark+=13960=t2r49vz0v,1851,1883,1804,1851,m,us,128129,0.559511907613,1,"Hawthorne, Nathaniel,",The house of the seven ga,stew | teamblack | pbgothic
uiuo.ark+=13960=t0ft97228,1876,1876,1830,1876,m,uk,62275,0.433731380342,0,"Robinson, Frederick Willi",As long as she lived,teamred | random
22221,1984,1984,1922,1984,f,us,64069,0.464499938683,1,"MacLeod, Charlotte,",The Convivial Codfish,teamred | chimyst | stew
nyp.33433051569915,1800,1803,1766,1800,m,ru,33446,0.334678978714,0,"Karamzin, Nikolaĭ Mikhaĭlovich,",Russian tales,teamred | random
11169,1926,1926,1872,1926,m,uk,83720,0.562711493769,1,"Gask, Arthur,",Cloud: the smiter,chirandom | stew | teamblack | chimyst
11364,1932,1932,1909,1932,f,uk,24160,0.188376961856,0,"Evans, Margiad,",Country dance,chirandom | teamred
uiuo.ark+=13960=t1qf99m3q,1875,1875,1831,1875,m,uk,42468,0.473853310448,0,"Mason, Charles Welsh.","The rape of the gamp; or,",teamblack | random
21905,1981,1981,1947,1981,m,us,51220,0.751369351518,1,"Vardeman, Robert E,",The Klingon gambit,chirandom | teamred | chiscifi | stew
uc2.ark+=13960=t5v69m62h,1911,1911,1870,1911,m,nz,50429,0.434285759105,0,"Cowan, James,",The adventures of Kimble ,teamred | random
21900,1981,1981,1945,1981,m,us,98509,0.64114915547,1,"Strieber, Whitley",The hunger,stew | teamblack | pbgothic
11552,1937,1937,1866,1937,m,uk,36949,0.667018426548,1,"Wells, H. G.",Star-begotten,teamred | chiscifi | stew
21866,1981,1981,1948,1981,f,us,76426,0.654743038475,1,"McIntyre, Vonda N,",The entropy effect,teamred | chiscifi | stew
11803,1946,1946,1899,1946,m,uk,82607,0.423047541678,0,"Forester, C. S.",Lord Hornblower,chirandom | teamblack
11809,1946,1946,1905,1946,m,uk,118397,0.420877428097,0,"Koestler, Arthur,",Thieves in the night,chirandom | teamblack
njp.32101066479765,1791,1791,1742,1791,m,uk,69886,0.353208476194,0,"Combe, William,",The devil upon two sticks,teamblack | random
20163,1954,1954,1916,1954,m,us,60221,0.507806845259,0,"Robbins, Harold,",Never leave me,chirandom | teamblack
22097,1983,1983,1922,1983,f,us,75826,0.535424412821,1,"MacLeod, Charlotte,",Something the cat dragged,chirandom | teamred | chimyst | stew
21501,1978,1978,1945,1978,m,us,43607,0.461825920675,0,"Brown, Wesley,",Tragic magic,chirandom | teamred
21500,1978,1978,1932,1978,m,us,134316,0.634806853711,1,"Bova, Ben,",Colony,teamred | chiscifi | stew
uc1.b316144,1832,1832,1796,1832,m,ge,75165,0.363637944585,0,"Spindler, Carl,",The Jew,teamblack | random
uc2.ark+=13960=t6251m863,1871,1871,1838,1871,m,uk,80104,0.394920851092,0,"Farjeon, B. L.",Joshua Marvel,teamblack | random
njp.32101063580995,1903,1903,1866,1903,m,us,85034,0.468362034079,0,"Isham, Frederic Stewart,",Under the rose,teamred | random
uiuo.ark+=13960=t7pn9mm7s,1858,1858,1807,1858,f,uk,45621,0.333323282324,0,"Manning, Anne,",The ladies of Bever Hollo,teamblack | random
nyp.33433074915269,1897,1897,1863,1897,m,uk,71510,0.578763800293,1,"Morrison, Arthur,",The Dorrington deed-box,teamred | det100 | stew
mdp.39015018606049,1871,1896,1840,1871,m,uk,169719,0.580175625388,1,"Hardy, Thomas,",Desperate Remedies,stew | teamblack | sensation
coo.31924051019580,1912,1912,1859,1912,m,uk,72785,0.629945130368,1,"Doyle, Arthur Conan,",The lost world,teamred | anatscifi | stew
21187,1974,1974,1929,1974,f,us,116418,0.474651175773,1,"Le Guin, Ursula K.",The Dispossessed,chiutopia | stew | chiscifi | teamred
11191,1927,1927,1875,1927,m,uk,110170,0.372235876773,0,"Buchan, John,",Witch wood,chirandom | chifantasy | teamblack
mdp.39015063941135,1907,1907,1850,1907,f,us,130515,0.490841502244,0,"Murfree, Mary Noailles,",The windfall;,teamred | random
dul1.ark+=13960=t4jm31m6k,1862,1864,1835,1862,f,uk,166758,0.475313712583,1,"Braddon, M. E.",Lady Audley's Secret,teamred | sensation | stew
mdp.39015063096088,1922,1922,1892,1922,f,us,33370,0.393964482637,0,"Squier, Emma-Lindsay,",The wild heart,teamred | random
dul1.ark+=13960=t80k32x0x,1899,1899,1866,1899,m,uk,98683,0.716398553285,1,"Wells, H. G.",When the sleeper wakes,teamred | locscifi | stew
21473,1977,1977,1937,1977,m,us,47374,0.410496815188,0,"Segal, Erich,",Oliver's story,chirandom | teamred
21579,1978,1978,1943,1978,m,us,80972,0.368019083435,0,"Swift, Edward,",Splendora,chirandom | teamred
20335,1958,1958,1907,1958,f,us,104444,0.519341121401,0,"MacInnes, Helen,",North from Rome,chirandom | teamblack
nyp.33433076053762,1913,1913,1876,1913,f,us,43876,0.513905103952,1,"Rinehart, Mary Roberts,",The case of Jennie Brice,stew | det100 | teamblack
20533,1963,1963,1900,1963,f,us,180619,0.313261929479,0,"Caldwell, Taylor,",Grandmother and the pries,chirandom | teamblack
21611,1979,1979,1923,1979,m,us,78847,0.664014880636,1,"Dickson, Gordon R,",Masters of Everon,stew | teamblack | chiscifi
mdp.39015063960556,1920,1921,1872,1920,m,us,87296,0.689558799486,1,"Stevenson, Burton Egbert,",The gloved hand;,stew | det100 | teamblack
10889,1939,1948,1888,1939,m,us,66906,0.60102108858,1,"Chandler, Raymond,",The big sleep,chimyst | det100 | teamblack | hardboiled | stew
20833,1969,1969,1915,1969,m,us,67005,0.582261637563,1,"Macdonald, Ross,",The goodbye look,teamred | chimyst | stew
22133,1983,1983,1941,1983,f,us,208991,0.325420153128,0,"Spellman, Cathy Cash,",So many partings,chirandom | teamred
20837,1969,1969,1899,1969,m,us,172333,0.515050669741,0,"Nabokov, Vladimir Vladimi",Ada,chirandom | teamblack
uiuo.ark+=13960=t2988vx2b,1802,1802,0,1802,m,uk,22437,0.637199241049,1,"Melville, Theodore.","The white knight, or, The monastery of Morne",stew | teamblack | stangothic
20750,1967,1967,1895,1967,m,us,65457,0.348209316349,0,"McNichols, Charles Longstreth,",Crazy weather,chirandom | teamred
njp.32101067187755,1861,1877,1814,1861,f,uk,260437,0.376570769655,1,"Wood, Ellen,",East Lynne,stew | teamblack | sensation
uc1.32106001959946,1904,1904,1866,1904,m,uk,88298,0.587383035481,1,"Wells, H. G.",The food of the gods and ,stew | teamblack | anatscifi | locscifi
njp.32101021206436,1901,1901,1866,1901,m,uk,70361,0.806215653705,1,"Wells, H. G.",The first men in the moon,stew | teamblack | anatscifi | locscifi
uc2.ark+=13960=t7tm74c51,1904,1904,1870,1904,m,us,73947,0.446002310638,0,"Orcutt, William Dana,",Robert Cavelier,teamred | random
11339,1931,1931,1883,1931,m,uk,59271,0.816068598132,1,"Rohmer, Sax,",Daughter of Fu Manchu,stew | teamblack | chimyst
nyp.33433074864889,1888,1888,1836,1888,m,uk,116385,0.523119894414,0,"Goodman, E. J.",Too curious,teamred | supernatural | random
20240,1956,1956,1916,1956,m,us,51382,0.553624244195,0,"MacDonald, John D.",You live once,chirandom | teamblack
uc2.ark+=13960=t5n87gd14,1863,1899,1814,1863,m,uk,262609,0.388722061344,1,"Reade, Charles,",Hard Cash,stew | teamblack | sensation
mdp.39015035566440,1878,1906,1846,1878,f,us,134920,0.629857717958,1,"Green, Anna Katharine,",The Leavenworth case,teamred | det100 | stew
uiuo.ark+=13960=t86h4xr9x,1806,1806,0,1806,f,,40764,0.431714539698,1,"Frances, Sophia L.","Vivonio, or, The hour of retribution",stew | teamblack | stangothic
10202,1950,1950,1909,1950,m,us,94091,0.296086599475,0,"Castor, Henry,",The year of the Spaniard,chirandom | teamred
11442,1934,1934,1899,1934,m,uk,115036,0.30625548266,0,"Linklater, Eric,",Magnus Merriman,chirandom | teamred
11564,1938,1938,1880,1938,m,uk,89246,0.607695871745,1,"Connington, J. J.",Murder will speak,stew | teamblack | chimyst
mdp.39015051156498,1826,1826,1798,1826,m,uk,90728,0.461221019337,0,"Banim, John,",Tales,teamred | random
nyp.33433074866413,1898,1908,1865,1898,m,uk,129023,0.380748449039,0,"Kipling, Rudyard,",The day's work,teamred | random
22732,1987,1987,1926,1987,f,us,138136,0.273893018518,0,"McCaffrey, Anne,",The lady,chirandom | teamred
uiuo.ark+=13960=t5z615j7x,1812,1812,0,1812,f,uk,41448,0.596721680259,1,"Stanhope, Louisa Sidney.",The confessional of Valombre,teamred | stangothic | stew
20233,1956,1956,1907,1956,m,us,55278,0.505813468872,1,"Heinlein, Robert A.",Double star,chirandom | teamred | chiscifi | stew
11081,1944,1944,1882,1944,m,uk,67696,0.357889208086,0,"Joyce, James,",Stephen hero,chirandom | teamred
11242,1928,1928,1874,1928,m,uk,69130,0.619989548701,1,"Wright, S. Fowler,",The island of Captain Spa,teamred | chifantasy | chiscifi | stew
hvd.hwkdax,1803,1803,1757,1803,f,uk,73494,0.57723968786,0,"Lee, Harriet,",Canterbury tales,teamred | random
10336,1930,1930,1891,1930,m,us,51754,0.85444215133,1,"Kline, Otis Adelbert,",Maza of the moon,teamred | chiscifi | stew
10337,1930,1930,1891,1930,m,us,54658,0.750221212596,1,"Kline, Otis Adelbert,",The prince of peril,stew | teamblack | chiscifi
uiuo.ark+=13960=t48p6974b,1868,1868,1813,1868,m,uk,54053,0.519508754994,0,"Capes, J. M.",The mosaic-worker's daugh,teamblack | random
uc2.ark+=13960=t4bn9zk9h,1887,1888,1847,1887,m,us,152738,0.408326204983,0,"Fawcett, Edgar,",Olivia Delaplaine,teamred | random
11593,1939,1939,1893,1939,,uk,67338,0.611656759211,1,"Berkeley, Anthony,",Death in the house,stew | teamblack | chimyst
11592,1939,1939,1916,1939,m,us,58819,0.356523287788,0,"Allan, Ted,",This time a better earth,chirandom | teamred
11591,1938,1938,1874,1938,m,uk,70854,0.689532581134,1,"Wright, S. Fowler,",The adventure of Wyndham ,chirandom | chiutopia | teamblack | chiscifi | stew
21620,1979,1979,1926,1979,m,us,95304,0.474706284232,0,"Gordon, Noah,",The Jerusalem diamond,chirandom | teamred
mdp.39015026244999,1878,1878,1824,1878,m,uk,74375,0.538976530548,1,"Collins, Wilkie,",The haunted hotel,teamred | pbgothic | stew
inu.30000007695723,1872,1886,1814,1872,m,uk,135386,0.631149319726,1,"Le Fanu, Joseph Sheridan,",In a glass darkly,stew | teamblack | pbgothic
22107,1983,1983,1934,1983,f,us,168272,0.336877321514,0,"Meade, Marion,",Sybille,chirandom | teamblack
20390,1959,1959,1903,1959,f,us,34807,0.467877112497,0,"Nin, Anais,",Children of the albatross,chirandom | teamred
nyp.33433075833354,1867,1906,1832,1867,m,fr,128730,0.513455822104,1,"Gaboriau, Emile,",The mystery of Orcival,stew | det100 | teamblack
uiuo.ark+=13960=t3vt1zh5r,1847,1847,1797,1847,m,uk,38693,0.398081979042,0,"Cobbold, Richard,",Zenon,teamred | random
umn.31951002096159c,1838,1838,1779,1838,f,uk,68721,0.409202224763,0,"Trollope, Frances Milton,",A romance of Vienna,teamblack | random
20270,1957,1957,1928,1957,m,us,64957,0.733287363159,1,"Dick, Philip K,",Eye in the sky,chirandom | stew | teamblack | chiscifi
11305,1930,1930,1886,1930,m,uk,115918,0.798323489333,1,"Stapledon, Olaf,",Last and first men,teamred | chiscifi | stew
20370,1959,1959,1905,1959,m,us,85634,0.757132282528,1,"Gantz, Kenneth Franklin,",Not in solitude,teamred | chiscifi | stew
11535,1937,1937,1899,1937,m,uk,96504,0.420219892446,0,"Linklater, Eric,",Juan in China,chirandom | teamred
10151,1940,1940,1863,1940,f,us,63841,0.378743262653,0,"Atkinson, Eleanor,",Greyfriars Bobby,chirandom | teamred
njp.32101062743727,1796,1828,1764,1796,f,uk,99406,0.458733122573,1,"Roche, Regina Maria,",The children of the abbey,stew | teamblack | pbgothic
10269,1927,1927,1876,1927,f,us,8238,0.475511359516,1,"Glaspell, Susan,",A jury of her peers,chirandom | teamred | chimyst | stew
uc2.ark+=13960=t40r9p16h,1909,1909,1862,1909,m,uk,98385,0.411785746098,0,"Newbolt, Henry John,",The new June,teamblack | random
10688,1942,1942,1908,1942,m,us,82671,0.5966776906,1,"Rice, Craig,",The big midget murders,stew | det100 | teamblack | chimyst
uc1.b3324220,1859,1859,1826,1859,m,us,185059,0.363200048524,0,"De Forest, John William,",Seacliff;,teamred | random
20655,1965,1965,1919,1965,m,us,21834,0.79772385301,1,"Raphael, Rick,",Code three,teamred | chiscifi | stew
nyp.33433075818611,1876,1878,1842,1876,f,fr,81966,0.372365677592,0,"Gréville, Henry,",Marrying off a daughter,teamred | random
20712,1966,1966,1911,1966,m,us,92141,0.80650906201,1,"Schmitz, James H.",The witches of Karres,teamred | chiscifi | stew
uiuo.ark+=13960=t2j683k08,1850,1850,1814,1850,m,uk,987307,0.568019750041,1,"Reynolds, George W. M.",The mysteries of the cour,stew | teamblack | pbgothic
dul1.ark+=13960=t1qf9gh9b,1863,1863,1835,1863,f,uk,222856,0.396975463346,1,"Braddon, M. E.",Aurora Floyd,stew | teamblack | sensation
20471,1961,1961,1916,1961,m,us,241627,0.477453858802,0,"Robbins, Harold,",The carpetbaggers,chirandom | teamred
inu.30000118528748,1913,1913,0,1913,m,uk,31618,0.457247965699,0,"Knight, Arthur Lee.",Told in the Indian twilig,teamred | random
coo.31924013525971,1908,1908,1855,1908,m,uk,84622,0.364862783432,0,"Moore, Frank Frankfort,",An amateur adventuress,teamred | random
20089,1953,1953,1906,1953,m,us,53940,0.538558242593,1,"Brown, Fredric,",The lights in the sky are,chirandom | teamred | chiscifi | stew
nyp.33433074876388,1899,1899,1866,1899,m,uk,63490,0.500800355873,1,"Hornung, E. W.",The amateur cracksman,teamred | det100 | stew
