volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
mdp.39015021039998,1820,1892,1782,1820,m,uk,99975,0.715357693909,1,1,327,"Maturin, Charles Robert,",Melmoth the wanderer,teamblack | pbgothic
uiuo.ark+=13960=t86h4xr9x,1806,1806,0,1806,f,,40764,0.576589424012,1,1,328,"Frances, Sophia L.","Vivonio, or, The hour of retribution",stew | teamblack | stangothic
uva.x000180089,1850,1889,1804,1850,m,us,101953,0.545173857211,1,1,326,"Hawthorne, Nathaniel,",The scarlet letter,stew | pbgothic | teamred
inu.39000002156706,1903,1903,1862,1903,m,uk,83427,0.577057931461,1,1,329,"Benson, Arthur Christophe",The hill of trouble and o,teamblack | pbgothic
uc2.ark+=13960=t9571nb3d,1866,1866,1819,1866,m,uk,200937,0.362919483059,0,1,329,"Kingsley, Charles,",Hereward,teamblack | random
uva.x000237148,1865,1881,1812,1865,m,uk,402047,0.392521074352,1,1,325,"Dickens, Charles,",Our mutual friend,teamblack | pbgothic
njp.32101062743727,1796,1828,1764,1796,f,uk,99406,0.58767715295,1,1,327,"Roche, Regina Maria,",The children of the abbey,teamblack | pbgothic
uc2.ark+=13960=t1td9p949,1777,1778,1729,1777,f,uk,56208,0.354744038166,1,1,328,"Reeve, Clara,",The old English baron,teamblack | pbgothic
nyp.33433074878889,1837,1837,1797,1837,m,uk,183975,0.392866680559,0,1,329,"Lover, Samuel,",Rory O'More,teamblack | random
uva.x000459624,1897,1897,1840,1897,m,uk,74230,0.530503824322,0,1,329,"Hardy, Thomas,",The well-beloved;,teamblack | random
21362,1976,1976,1941,1976,f,us,132401,0.734655941956,1,1,329,"Rice, Anne",Interview with the vampir,teamblack | pbgothic
uiuo.ark+=13960=t6xw4rw1j,1803,1803,1780,1803,f,uk,65500,0.701830443507,1,1,325,"Cuthbertson, Catherine.",Romance of the Pyrenees,teamblack | stangothic
22723,1987,1987,1933,1987,m,us,70129,0.481121568905,0,1,329,"Logue, John,",Boats against the current,teamblack | chirandom
22741,1987,1987,1931,1987,f,us,98542,0.429790206378,1,1,329,"Morrison, Toni",Beloved,teamblack | pbgothic
mdp.39015026244999,1878,1878,1824,1878,m,uk,74375,0.447069285447,1,1,326,"Collins, Wilkie,",The haunted hotel,stew | pbgothic | teamred
nyp.33433075768253,1826,1826,1785,1826,m,uk,95423,0.378950837335,0,1,329,"Wilkins, George,",The convert,teamblack | random
mdp.39015038723360,1860,1906,1824,1860,m,uk,285690,0.455891844275,1,1,326,"Collins, Wilkie,",The woman in white,sensation | pbgothic | teamred | stew
nyp.33433074937438,1832,1832,1804,1832,m,uk,80534,0.513141761027,0,1,328,"Disraeli, Benjamin,",Contarini Fleming;,teamblack | random
